license_type,license_prefix,license_number,name,address,city,township,sanitarian,area,phone
SFE,4781,028507,ZION LUTHERAN CHURCH,"1501 W. LIBERTY",ANN ARBOR,,Hansell,"11 RS Area Stadium",734-994-4455
SFE,4781,028511,ST. PAULS LUTHERAN SCHOOL,"495 EARHART ROAD",ANN ARBOR,ANN ARBOR,Yet,"06 CW Area Plymth F",734-665-9117
SFE,4781,028521,DEE'S PLACE,"9876 MAIN ST",WHITMORE LAKE,NORTHFIELD,Yet,"03 PB Area Whit Lke","(734) 449-4707"
SFE,4781,028522,DOWNING FARMS GOLF COURSE,"8145 W. SEVEN MILE ROAD",NORTHVILLE,SALEM,Kamenec,"CW Area Jackson",248-486-0990
SFE,4781,028526,"MAC'S IN SALINE LLC","104 E. MICHIGAN AVE",SALINE,,Yet,"07 CH Area Saline","(734) 944-6227"
SFE,4781,028536,ROY'S SQUEEZE INN,"1315 E. MICHIGAN AVE",YPSILANTI,,Pearson,"18 CW Area Whittker",734-485-3999
SFE,4781,028538,"BRAE-BURN TAVERN, INC","10860 FIVE MILE RD",PLYMOUTH,SALEM,Pearson,"CW Area Jackson",734-453-1900
SFE,4781,028541,STARBUCKS COFFEE #2359,"222 S. STATE STREET",ANN ARBOR,,Matranga,"Starbuck's chain",734-623-8067
SFE,4781,028543,FIRST PRESBYTERIAN CHURCH,"1432 WASHTENAW",ANN ARBOR,,Hauck,"12 SM Area Dwntwn",734-662-4466
SFE,4781,028545,BROWN JUG RESTAURANT,"1204 S. UNIVERSITY",ANN ARBOR,,Kamenec,"04 VD Area UM Cam",734-761-3355
SFE,4781,028548,SLAUSON JR.HIGH SCHOOL,"1019 W. WASHINGTON",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028553,HURON HIGH SCHOOL CAFETERIA,"2727 FULLER ROAD",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028554,FORSYTHE JR. HIGH SCHOOL,"1655 NEWPORT ROAD",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028559,"JAMES L. CRAWFORD LODGE #322","220 SUNSET RD",ANN ARBOR,,Pearson,"11 RS Area Stadium",734-761-7172
SFE,4781,028563,SIDETRACK,"56 E. CROSS ST",YPSILANTI,,Pearson,"19 CH Area AA Schls",734-483-1035
SFE,4781,028566,TAPPAN JR. HIGH SCHOOL,"2251 E. STADIUM BLVD",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028571Z,CORATTI'S PIZZERIA,"512 E. WILLIAM",ANN ARBOR,,Sherwin,"05 VD Area UM Cam",
SFE,4781,028572,DAIRY QUEEN - PACKARD,"1805 PACKARD",ANN ARBOR,,Pearson,"20 CY Area Packard",734-665-5588
SFE,4781,028579,FLEETWOOD DINER,"300 S. ASHLEY",ANN ARBOR,,Sherwin,"12 SM Area Dwntwn",734-995-5502
SFE,4781,028585,BARTON HILLS HALF WAY HS,"733 COUNTRY CLUB DRIVE",ANN ARBOR,ANN ARBOR,Deedler,"Barton Hills CC Chair",734-663-8511
SFE,4781,028597,"SERRA'S D.Q. L.LC.","1801 WASHTENAW",YPSILANTI,YPSILANTI,Pearson,"03 PB Area Whit Lke",734-340-4108
SFE,4781,028600,WYLIE ELEMENTARY SCHOOL,"3060 KENSINGTON",DEXTER,,Sherwin,"Dexter Community S","(734) 424-4186"
SFE,4781,028606,LINCOLN BRICK ELEMENTARY,"8970 WHITTAKER ROAD",YPSILANTI,AUGUSTA,Pearson,"Lincoln Consolidated",734-484-7000
SFE,4781,028608,LINCOLN HIGH SCHOOL WEST,"7425 WILLIS ROAD",YPSILANTI,AUGUSTA,Pearson,"Lincoln Consolidated",734-484-7000
SFE,4781,028614,ASHLEY'S RESTAURANTS LTD,"338 S. STATE STREET",ANN ARBOR,,Sherwin,"05 VD Area UM Cam",734-996-9191
SFE,4781,028616,SUBWAY/PILOT TRAVEL #021,"750 BAKER ROAD",DEXTER,SCIO,Sherwin,"Subway chain",865-588-7488
SFE,4781,028617,DAIRY QUEEN OF SALINE,"400 E. MICHIGAN AVENUE",SALINE,,Pearson,"07 CH Area Saline","(734) 429-4830"
SFE,4781,028618,ICE CREAM TIME,"1240 ECORSE ROAD",YPSILANTI,YPSILANTI,Pearson,"09 PB Area Milan & E","(734) 485-3424"
SFE,4781,028622,ST. THOMAS SCHOOL CAFETERIA,"540 ELIZABETH STREET",ANN ARBOR,,Deedler,"15 SM Area Washngt",734-769-0911
SFE,4781,028628,ANN ARBOR CITY CLUB,"1830 WASHTENAW",ANN ARBOR,,Hauck,"04 VD Area UM Cam",734-662-3279
SFE,4781,028636,GANDY DANCER,"401 DEPOT STREET",ANN ARBOR,,Sherwin,"05 VD Area UM Cam",734-769-0592
SFE,4781,028639,DAIRY QUEEN OF DEXTER,"8041 MAIN STREET",DEXTER,,Pearson,"02 VD Area Dexter",734-426-8647
SFE,4781,028643,CALIFORNIA PIZZA KITCHEN,"870 BRIARWOOD CIRCLE",ANN ARBOR,,Hansell,"08 CH Area Manches",310-342-5000
SFE,4781,028651,FULL HOUSE INC,"57 ECORSE RD",YPSILANTI,,Pearson,"06 CW Area Plymth F",734-482-5920
SFE,4781,028656,"UA 190-IBEW 252","7920 JACKSON ROAD",ANN ARBOR,YPSILANTI,Matranga,"16 CW Area Jackson",734-424-0978
SFE,4781,028658,HOLMES ELEMENTARY SCHOOL,"1255 HOLMES ROAD",YPSILANTI,,Pearson,"Ypsilanti Community",734-221-1216
SFE,4781,028667,TRI-COUNTY SPORTSMEN'S LEAGUE,"8640 ΜΟΟN RD",SALINE,YORK,Matranga,"07 CH Area Saline","(734) 429-9561"
SFE,4781,028672,CLAGUE JR. HIGH SCHOOL,"2616 ΝΙΧΟN ROAD",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028674,HENRY FORD ELEMENTARY,"2440 CLARK ROAD",YPSILANTI,,Pearson,"Ypsilanti Community",734-221-1934
SFE,4781,028679,LAKE FOREST GOLF CLUB,"3110 W ELLSWORTH ROAD",ANN ARBOR,LODI,Deedler,"17 CY Area Washtna",734-994-8580
SFE,4781,028688,HEIDELBERG,"215 Ν. ΜΑΙN ST",ANN ARBOR,,Kamenec,"14 RS Area Main Stre",734-585-0063
SFE,4781,028689,AMERICAN LEGION POST 322,"320 W. MICHIGAN AVENUE",SALINE,,Yet,"07 CH Area Saline","(734) 429-7310"
SFE,4781,028691,MR. PIZZA,"1484 WASHTENAW #1",YPSILANTI,,Hauck,"13 RS Area EMU & C",734-485-0010
SFE,4781,028700,EMANUEL UNITED CHURCH OF CHRIST,"324 W. MAIN STEET",MANCHESTER,,Hauck,"08 CH Area Manches",734-428-8359
SFE,4781,028702,ST. FRANCIS OF ASSISI PARISH,"2240 STADIUM BLVD",ANN ARBOR,YPSILANTI,Hauck,"12 SM Area Dwntwn",734-821-2100
SFE,4781,028704,YPSILANTI COMMUNITY HIGH SCHOOL,"2095 PACKARD",YPSILANTI,,Deedler,"Ypsilanti Community",734-221-1216
SFE,4781,028705,MARK 4 LOUNGE,"1180 S. MAIN STREET",CHELSEA,,Hauck,"01 PB Area Chelsea",734-475-8141
SFE,4781,028706,HOLIDAY'S RESTAURANT,"2080 W. STADIUM BLVD",ANN ARBOR,,Hansell,"11 RS Area Stadium",734-668-1292
SFE,4781,028715,MANCHESTER UNITED METHODIST CH,"501 ANN ARBOR STREET",MANCHESTER,,Hauck,"08 CH Area Manches",734-428-8495
SFE,4781,028725,SALEM ELEMENTARY,"7806 SALEM ROAD",NORTHVILLE,SALEM,Matranga,"South Lyon Schools",248-573-8925
SFE,4781,028728,ST. JOHN THE BAPTIST CATHOLIC CHURCH,"410 W. CROSS STREET",YPSILANTI,,Deedler,"13 RS Area EMU & C",734-483-3360
SFE,4781,028729,WINGS 'N THINGS,"3220 BROAD STREET",DEXTER,,Matranga,"02 VD Area Dexter",734-426-7754
SFE,4781,028733,FIRST UNITED METHODIST CHURCH,"209 WASHTENAW",YPSILANTI,,Deedler,"13 RS Area EMU & C",734-482-8374
SFE,4781,028736,ST. MARY'S PARISH CENTER,"110 E. MADISON",MANCHESTER,,Hauck,"08 CH Area Manches","(734) 428-8811"
SFE,4781,028738,ST. MARY'S CHURCH,"210 W. MAIN STREET",MANCHESTER,,Hauck,"08 CH Area Manches","(734) 428-8811"
SFE,4781,028747,CHELSEA HIGH SCHOOL,"740 N. FREER RD",CHELSEA,,Hansell,"Chelsea Community",734-433-2201
SFE,4781,028750,TRAVEL CENTERS OF AMERICA Τ/Α,"200 BAKER RD",DEXTER,SCIO,Matranga,"02 VD Area Dexter",734-426-3951
SFE,4781,028752,ZINGERMAN'S DELI,"422 DETROIT STREET",ANN ARBOR,,Matranga,"Zingerman's chain",734-663-3354
SFE,4781,028756,ST. PAUL LUTHERAN CHURCH,"420 W. LIBERTY",ANN ARBOR,,Yet,"12 SM Area Dwntwn",734-665-9117
SFE,4781,028759,RICK'S AMERICAN CAFE,"611 CHURCH STREET",ANN ARBOR,,Kamenec,"04 VD Area UM Cam",734-996-2748
SFE,4781,028763,SOUTH MEADOWS ELEMENTARY SCHOOL,"335 PIERCE STREET",CHELSEA,,Hansell,"Chelsea Community",734-433-2201
SFE,4781,028764,DWIGHT BEACH MIDDLE SCHOOL,"445 A.D. MAYER DRIVE",CHELSEA,,Hansell,"Chelsea Community",734-433-2201
SFE,4781,028765,NORTH CREEK ELEMENTARY SCHOOL,"699 MCKINLEY STREET",CHELSEA,,Hansell,"Chelsea Community.",734-433-2201
SFE,4781,028768,COTTAGE INN PIZZA,"546 PACKARD",ANN ARBOR,,Sherwin,"Cottage Inn chain",734-769-5555
SFE,4781,028770,COTTAGE INN PIZZA,"2301 W. STADIUM BLVD",ANN ARBOR,,Sherwin,"Cottage Inn chain",734-663-2822
SFE,4781,028772Z,EMMANUEL LUTHERAN CHURCH,"201 N RIVER ST",YPSILANTI,,Pearson,"19 CH Area AA Schls",734-482-7121
SFE,4781,028773,AMERICAN LEGION POST 557,"8225 DEXTER-CHELSEA",DEXTER,SCIO,Matranga,"02 VD Area Dexter",734-426-4511
SFE,4781,028776,HURON HILLS GOLF COURSE,"3465 E. HURON RIVER DRIVE",ANN ARBOR,,Deedler,"City of Ann Arbor",734-794-6246
SFE,4781,028784,TRAVIS POINTE COUNTRY CLUB,"2829 TRAVIS POINTE ROAD",ANN ARBOR,LODI,Deedler,"07 CH Area Saline",734-662-2582
SFE,4781,028787,STONEY CREEK UNITED METHODIST,"8635 STONY CREEK RD",YPSILANTI,AUGUSTA,Matranga,"09 PB Area Milan & E",734-482-0240
SFE,4781,028794,EARLE,"121 W. WASHINGTON",ANN ARBOR,,Yet,"15 SM Area Washngt",734-994-0211
SFE,4781,028796,LESLIE PARK GOLF COURSE,"2120 TRAVER ROAD",ANN ARBOR,,Deedler,"City of Ann Arbor",734-794-6245
SFE,4781,028798,BROOKSIDE GOLF COURSE,"6451 ANN ARBOR SALINE ROAD",SALINE,LODI,Matranga,"07 CH Area Saline","(734) 429-4276"
SFE,4781,028799,BETHLEHEM UNITED CHURCH OF CHRIST,"423 S. FOURTH AVENUE",ANN ARBOR,,Sherwin,"05 VD Area UM Cam",734-665-6149
SFE,4781,028800,AFTERNOON DELIGHT,"251 E. LIBERTY",ANN ARBOR,,Matranga,"15 SM Area Washng",734-665-7513
SFE,4781,028810,SALVATION ARMY,"100 ARBANA DR",ANN ARBOR,,Deedler,"12 SM Area Dwntwn",734-668-8353
SFE,4781,028818,ESTABROOK ELEMENTARY SCHOOL,"1555 W. CROSS STREET",YPSILANTI,YPSILANTI,Deedler,"Ypsilanti Community",734-221-1216
SFE,4781,028820,ERICKSON ELEMENTARY SCHOOL,"1427 LEVONA",YPSILANTI,,Deedler,"Ypsilanti Community",734-221-1605
SFE,4781,028821,"YPSILANTI INTERNATIONAL ELE SCHOOL (YIES","503 OAK",YPSILANTI,,Deedler,"Ypsilanti Community",734-221-1216
SFE,4781,028822,"KNIGHT'S BAR & RESTAURANT","2324 DEXTER ST",ANN ARBOR,ANN ARBOR,Sherwin,"Knight's chain",734-665-8644
SFE,4781,028823,"ST. PATRICK'S CHURCH-PARISH HALL","5671 WHITMORE LAKE ROAD",ANN ARBOR,NORTHFIELD,Matranga,"03 PB Area Whit Lke",734-662-8141
SFE,4781,028824,MORRISON COMMUNITY LIVING,"200 BRECON DRIVE",SALINE,,Yet,"07 CH Area Saline","(734) 429-1155"
SFE,4781,028827,WINES ELEMENTARY,"1701 NEWPORT ROAD",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028828,THURSTON ELEMENTARY,"2300 PRAIRIE",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028830,PITTSFIELD ELEMENTARY,"2543 PITTSFIELD BLVD.",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028831,PATTENGILL ELEMENTARY,"2100 CRESTLAND",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028833,MITCHELL ELEMENTARY,"3550 PITTSVIEW",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028834,LOGAN ELEMENTARY,"2685 TRAVER RD",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028835,LAWTON ELEMENTARY,"2250 S. SEVENTH STREET",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028836,KING ELEMENTARY,"3800 WALDENWOOD",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028838,HAISLEY ELEMENTARY,"825 DUNCAN",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028839,EBERWHITE ELEMENTARY,"800 SOULE BLVD.",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028840,DICKEN ELEMENTARY,"2135 RUNNYMEDE",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028841,JIMMY JOHN'S #9016,"600 PACKARD",ANN ARBOR,,Matranga,"Jimmy Johns Chain",734-741-9200
SFE,4781,028842,CARPENTER ELEMENTARY,"4250 CENTRAL",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028843,BURNS PARK ELEMENTARY,"1414 WELLS",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028845,BACH ELEMENTARY,"600 W. JEFFERSON",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028846,ANGELL ELEMENTARY,"1608 S. UNIVERSITY",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028847,ALLEN ELEMENTARY,"2560 TOWNER",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028848,ABBOT ELEMENTARY,"2670 SEQUOIA PARKWAY",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028851,"WHITMORE LANES INC & CONEY","9455 MAIN STREET",WHITMORE LAKE,NORTHFIELD,Yet,"03 PB Area Whit Lke",734-449-4405
SFE,4781,028857,KLAGER ELEMENTARY SCHOOL,"405 ANN ARBOR STREET",MANCHESTER,,Hansell,"Manchester Public Sc","(734) 428-9711"
SFE,4781,028859,ANN ARBOR STEAM AT NORTHSIDE SCHOOL,"912 BARTON DRIVE",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028860,WEST SIDE UNITED METHODIST,"900 S. SEVENTH STREET",ANN ARBOR,,Yet,"12 SM Area Dwntwn",734-663-4164
SFE,4781,028862,MACK ELEMENTARY SCHOOL,"920 MILLER",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028867,BRYANT ELEMENTARY SCHOOL,"2150 SANTA ROSA",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028870,METZGER'S GERMAN RESTAURANT,"305 N. ZEEB ROAD",ANN ARBOR,SCIO,Hauck,"16 CW Area Jackson",734-668-8987
SFE,4781,028879,TACO BELL #1938,"2280 W. STADIUM BLVD",ANN ARBOR,,Deedler,"Taco Bell chain",734-663-4764
SFE,4781,028887,VILLAGE KITCHEN,"241 N. MAPLE RD",ANN ARBOR,,Hansell,"11 RS Area Stadium",734-426-8417
SFE,4781,028896,WHITE CASTLE MICHIGAN #26,"3953 PACKARD",ANN ARBOR,,Deedler,"20 CY Area Packard",734-973-6811
SFE,4781,028904,"CHELSEA HIGH SCHOOL INDOOR CONCESSION","740 N. FREER ROAD",CHELSEA,,Hansell,"Chelsea Community.",734-433-2201
SFE,4781,028908,"L.O.O.M. YPSI LODGE # 782","5506 STONY CREEK RD",YPSILANTI,YPSILANTI,Hauck,"09 PB Area Milan & E",734-483-0950
SFE,4781,028929,KARL'S FAMILY RESTAURANT,"9779 N. TERRITORIAL ROAD",PLYMOUTH,SALEM,Matranga,"16 CW Area Jackson",734-455-8450
SFE,4781,028934,BOB EVANS RESTAURANTS LLC #89,"2411 CARPENTER ROAD",ANN ARBOR,PITTSFIELD,Deedler,"Bob Evans Restaurar",734-971-2220
SFE,4781,028939,SOTTINIS SUB SHOP,"205 S. FOURTH AVENUE",ANN ARBOR,,Kamenec,"15 SM Area Washng",734-769-7827
SFE,4781,028943,BELL'S DINER,"2167 W. STADIUM BLVD",ANN ARBOR,,Hansell,"11 RS Area Stadium",734-995-0226
SFE,4781,028947,ST. PAUL UNITED CH OF CHRIST,"122 W. MICHIGAN AVENUE",SALINE,,Yet,"07 CH Area Saline",734-429-7716
SFE,4781,028949,OCED SENIOR NUTRITION PROGRAM,"2025 E. CLARK ROAD",YPSILANTI,SUPERIOR,Hauck,"OCED",734-544-3800
SFE,4781,028952,MICHIGAN THEATER,"603 E. LIBERTY",ANN ARBOR,,Sherwin,"05 VD Area UM Cam",734-668-8397
SFE,4781,028963,CENTRAL ACADEMY MIDDLE & HIGH SCHOOL,"2461 S INDUSTRIAL HIGHWAY",ANN ARBOR,,Deedler,"Central Academy Cha",734-822-1100
SFE,4781,028986,MARK'S MIDTOWN CONEY,"529 E. MICHIGAN AVENUE",SALINE,,Deedler,"Mark's Midtown Chail",734-429-1755
SFE,4781,028988,"COLUMBUS HALL AND BANQUET CENTER, INC","8265 DEXTER-CHELSEA",DEXTER,SCIO,Matranga,"02 VD Area Dexter",734-426-5558
SFE,4781,028989,LITTLE CAESAR'S PIZZA,"3000 PACKARD",ANN ARBOR,,Matranga,"Little Caesars chain",313-471-6508
SFE,4781,,,"",YPSILANTI,YPSILANTI,Pearson,"09 PB Area Milan & E",734-482-9213
SFE,4781,029009,FRATERNAL ORDER OF EAGLES,"2935 HOLMES ROAD",YPSILANTI,YPSILANTI,Pearson,"09 PB Area Milan & E",734-482-9213
SFE,4781,029019,CHILI'S BAR & GRILL #70,"3795 WASHTENAW AVE",ANN ARBOR,,Hauck,"12 SM Area Dwntwn",734-973-6772
SFE,4781,029020,ATHLETIC BOOSTER CLUB OF DEXTER,"2615 BAKER ROAD",DEXTER,,Sherwin,"Dexter Community S",734-424-4170
SFE,4781,029024,IMMACULATE CONCEPTION CHURCH,"420 NORTH ST",MILAN,,Matranga,"09 PB Area Milan & E",734-439-2030
SFE,4781,029025,NECTO,"516 E. LIBERTY",ANN ARBOR,,Matranga,"15 SM Area Washng",734-994-5835
SFE,4781,029030,SENIOR CITIZEN RECREATION CENTER,"1015 CONGRESS",YPSILANTI,,Pearson,"19 CH Area AA Schls",734-483-5014
SFE,4781,029034,HUDSON MILLS HURON CLINTON,"8801 N. TERRITORIAL ROAD",DEXTER,DEXTER,Matranga,"02 VD Area Dexter",734-426-8211
SFE,4781,029046,TACO BELL #2837,"1590 S. MAIN STREET",CHELSEA,,Deedler,"KFC chain",248-446-0100
SFE,4781,029054,LINCOLN MIDDLE SCHOOL,"8744 WHITTAKER ROAD",YPSILANTI,AUGUSTA,Pearson,"Lincoln Consolidated",734-484-7000
SFE,4781,029055,ST. THOMAS PARISH HALL,"530 ELIZABETH STREET",ANN ARBOR,,Deedler,"15 SM Area Washng",734-761-8606
SFE,4781,029066,RAWSONVILLE ELEMENTARY SCHOOL,"3110 GROVE RD",YPSILANTI,YPSILANTI,Pearson,"Van Buren Schools",734-697-0011
SFE,4781,029087,JENNY'S PIZZA PERFECT,"332 S. FORD BLVD",YPSILANTI,YPSILANTI,Matranga,"09 PB Area Milan & E",734-485-8800
SFE,4781,029091,WELLERS' CARRIAGE HOUSE,"555 W. MICHIGAN AVENUE",SALINE,,Yet,"07 CH Area Saline","(734) 429-2115"
SFE,4781,029093,CASEY'S TAVERN,"304 DEPOT ST",ANN ARBOR,,Sherwin,"05 VD Area UM Cam",734-665-6775
SFE,4781,029097,BISHOP ELEMENTARY,"8888 WHITTAKER ROAD",YPSILANTI,AUGUSTA,Pearson,"Lincoln Consolidated",734-484-7000
SFE,4781,029116,ST. ANDREWS CHURCH OF CHRIST,"7610 ANN ARBOR STREET",DEXTER,,Matranga,"02 VD Area Dexter",734-426-8610
SFE,4781,029121,"LINCOLN BOOSTERS CONCESSION (OUTDOOR)","7425 WILLIS ROAD",YPSILANTI,AUGUSTA,Pearson,"Lincoln Consolidated",734-484-7000
SFE,4781,029123,"MARK'S MIDTOWN CONEY ISLAND IN","3672 S. STATE ST",ANN ARBOR,,Deedler,"Mark's Midtown Chai",734-747-6707
SFE,4781,029213,ANN ARBOR GOLF & OUTING,"400 E. STADIUM BLVD",ANN ARBOR,,Hansell,"11 RS Area Stadium & Jackson",734-663-4044
SFE,4781,029215,AMADEUS CAFE,"122 E. WASHINGTON",ANN ARBOR,,Kamenec,"15 SM Area Washngtn, Librty AA",734-665-8767
SFE,4781,029216,YPSILANTI MASONIC ASSOC,"5752 WHITTAKER ROAD",YPSILANTI,,Pearson,"18 CW Area Whittker & Mich Ave",734-482-5752
SFE,4781,029217,UPTOWN CONEY ISLAND,"3917 JACKSON ROAD",ANN ARBOR,,Sherwin,"Uptown Coney Chain",734-665-5909
SFE,4781,029220,OLIVE GARDEN # 1110,"445 E. EISENHOWER PKWY",ANN ARBOR,,Deedler,"20 CY Area Packard & Eisenhowr",734-663-6875
SFE,4781,029231,FIRST PRESBYTERIAN CHURCH,"300 N. WASHINGTON",YPSILANTI,,Pearson,"19 CH Area AA Schls & DepotTwn",734-482-1525
SFE,4781,029233,COTTAGE INN PIZZA,"2900 STATE STREET",ANN ARBOR,,Sherwin,"Cottage Inn chain",734-663-4500
SFE,4781,029235,FIRST UNITED METHODIST CHURCH,"120 S. STATE ST",ANN ARBOR,,Sherwin,"05 VD Area UM Campus Northwest",734-662-4536
SFE,4781,029237,SAICA,"1733 PLYMOUTH ROAD",ANN ARBOR,,Yet,"06 CW Area Plymth Rd, Ypsi",734-769-1212
